,id,meal_id,food_name,servings,nutrition_info
0,1,1,Ramen,1.0,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
1,2,1,Chips 1oz,1.0,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
2,3,1,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
3,4,2,Rice,1.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
4,5,2,Spicy Garlic,1.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
5,6,3,Fruit Snacks,1.0,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
6,7,3,Rice Krispie,1.0,"{""fats"": 2, ""carbs"": 17, ""calories"": 90, ""proteins"": 0}"
7,8,3,Cereal Bar,1.0,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
8,9,3,Rice,1.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
9,10,3,Spicy Garlic,1.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
10,11,3,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
11,12,4,McChicken,2.0,"{""fats"": 21, ""carbs"": 39, ""calories"": 400, ""proteins"": 14}"
12,13,4,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
13,14,5,Ramen,1.0,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
14,15,5,Chips 1oz,1.0,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
15,16,5,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
16,17,6,Rice,1.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
17,18,6,Spicy Garlic,1.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
18,19,7,Fruit Snacks,1.0,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
19,20,7,Rice Krispie,1.0,"{""fats"": 2, ""carbs"": 17, ""calories"": 90, ""proteins"": 0}"
20,21,7,Cereal Bar,1.0,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
21,22,7,Rice,1.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
22,23,8,Spicy Garlic,1.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
23,24,8,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
24,25,9,McChicken,2.0,"{""fats"": 21, ""carbs"": 39, ""calories"": 400, ""proteins"": 14}"
25,26,9,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
26,27,10,Ramen,1.0,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
27,28,10,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
28,29,10,Chips 1oz,1.0,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
29,30,11,10 Traditional Wings,1.0,"{""fats"": 41, ""carbs"": 0, ""calories"": 720, ""proteins"": 88}"
30,31,11,Wendys Jr Fries,1.0,"{""fats"": 9, ""carbs"": 28, ""calories"": 210, ""proteins"": 3}"
31,32,11,Ranch,1.0,"{""fats"": 23, ""carbs"": 1, ""calories"": 210, ""proteins"": 1}"
32,33,12,Rice,1.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
33,34,12,Spicy Garlic,1.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
34,35,12,Fruit Snacks,1.0,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
35,36,12,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
36,37,13,Chewy Bar,2.0,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
37,38,13,Oatmeal,2.0,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
38,39,13,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
39,40,14,Chuck Steak 100g,3.0,"{""fats"": 20, ""carbs"": 0, ""calories"": 277, ""proteins"": 25}"
40,41,14,Rice,2.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
41,42,14,Spicy Garlic,2.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
42,43,15,Gordita Crunch,1.0,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
43,44,15,Steak Ques.,1.0,"{""fats"": 27, ""carbs"": 42, ""calories"": 520, ""proteins"": 26}"
44,45,15,Gatorade Powder,2.0,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
45,46,16,Ice Cream Sandwich,2.0,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
46,47,16,Fruit Snacks,1.0,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
47,48,17,Cereal Bar,2.0,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
48,49,17,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
49,50,18,Rice,1.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
50,51,18,Spicy Garlic,1.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
51,52,18,Eggs,4.0,"{""fats"": 5, ""carbs"": 0, ""calories"": 70, ""proteins"": 6}"
52,53,18,Butter,1.0,"{""fats"": 11, ""carbs"": 0, ""calories"": 100, ""proteins"": 0}"
53,54,19,Rice,1.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
54,55,19,Spicy Garlic,1.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
55,56,19,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
56,57,19,Fruit Snacks,2.0,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
57,58,20,Pop Tart,1.0,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
58,59,20,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
59,60,21,Oatmeal,2.0,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
60,61,21,Cereal Bar,2.0,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
61,62,21,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
62,63,22,Rice,2.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
63,64,22,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
64,65,22,Butter,1.0,"{""fats"": 11, ""carbs"": 0, ""calories"": 100, ""proteins"": 0}"
65,66,23,Quarter Pounder,2.0,"{""fats"": 26, ""carbs"": 42, ""calories"": 520, ""proteins"": 30}"
66,67,23,Gatorade Powder,2.0,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
67,68,24,Ice Cream Sandwich,1.0,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
68,69,24,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
69,70,25,Ramen,1.0,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
70,71,25,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
71,72,26,Gyro,1.0,"{""fats"": 12, ""carbs"": 73, ""calories"": 593, ""proteins"": 44}"
72,73,26,Wendys Jr Fries,2.0,"{""fats"": 9, ""carbs"": 28, ""calories"": 210, ""proteins"": 3}"
73,74,27,Rice,1.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
74,75,27,Spicy Garlic,2.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
75,76,27,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
76,77,28,Ice Cream Sandwich,1.0,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
77,78,28,Fruit Snacks,1.0,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
78,79,29,Oatmeal,2.0,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
79,80,29,Cereal Bar,2.0,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
80,81,29,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
81,82,30,Quarter Pounder,2.0,"{""fats"": 26, ""carbs"": 42, ""calories"": 520, ""proteins"": 30}"
82,83,31,Gatorade Powder,2.0,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
83,84,31,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
84,85,31,Ice Cream Sandwich,2.0,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
85,86,32,Gordita Crunch,1.0,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
86,87,32,Steak Ques.,1.0,"{""fats"": 27, ""carbs"": 42, ""calories"": 520, ""proteins"": 26}"
87,88,32,LG Baja Blast,1.0,"{""fats"": 0, ""carbs"": 111, ""calories"": 420, ""proteins"": 0}"
88,89,33,Ramen,1.0,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
89,90,33,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
90,91,34,Gordita Crunch,2.0,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
91,92,35,Gordita Crunch,1.0,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
92,93,35,Fruit Snacks,1.0,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
93,94,36,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
94,95,36,Fruit Snacks,1.0,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
95,96,37,Cereal Bar,1.0,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
96,97,37,Chewy Bar,1.0,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
97,98,37,Hot Dog,2.0,"{""fats"": 12, ""carbs"": 1, ""calories"": 140, ""proteins"": 5}"
98,99,37,Hot Dog Bun,2.0,"{""fats"": 1, ""carbs"": 23, ""calories"": 130, ""proteins"": 4}"
99,100,37,Chips 1oz,1.0,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
100,101,38,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
101,102,38,Pop Tart,1.0,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
102,103,39,Quesadilla (restaurant),1.0,"{""fats"": 65, ""carbs"": 110, ""calories"": 1332, ""proteins"": 73}"
103,104,39,Small Coke,1.0,"{""fats"": 0, ""carbs"": 39, ""calories"": 150, ""proteins"": 0}"
104,105,40,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
105,106,40,Fruit Snacks,1.0,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
106,107,41,Cereal Bar,1.0,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
107,108,41,Ramen,1.0,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
108,109,41,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
109,110,42,Rice,1.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
110,111,42,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
111,112,43,Watermelon,1.0,"{""fats"": 0, ""carbs"": 21, ""calories"": 85, ""proteins"": 2}"
112,113,43,Chewy Bar,1.0,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
113,114,43,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
114,115,44,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
115,116,44,Rice,2.0,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
116,117,44,Spicy Garlic,1.0,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
117,118,44,Ice Cream Sandwich,2.0,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
118,119,45,Chewy Bar,2.0,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
119,120,45,Oatmeal,3.0,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
120,121,45,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
121,122,46,Quarter Pounder,2.0,"{""fats"": 26, ""carbs"": 42, ""calories"": 520, ""proteins"": 30}"
122,123,47,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
123,124,47,Pop Tart,1.0,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
124,125,48,McChicken,1.0,"{""fats"": 21, ""carbs"": 39, ""calories"": 400, ""proteins"": 14}"
125,126,48,Wendys Jr Fries,1.0,"{""fats"": 9, ""carbs"": 28, ""calories"": 210, ""proteins"": 3}"
126,127,49,Chewy Bar,2.0,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
127,128,49,Oatmeal,3.0,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
128,129,49,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
129,130,50,Ice Cream Sandwich,2.0,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
130,131,50,Protein Powder,2.0,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
131,132,50,Gatorade Powder,1.0,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
132,133,51,Quarter Pounder,2.0,"{""fats"": 26, ""carbs"": 42, ""calories"": 520, ""proteins"": 30}"
